src_country,description,tgt_country
ru,"Russia–Ukraine splinternet / sovereign DNS policy",ua
ru,"Censorship of NATO websites during conflict",us
ua,"Blocking Russian state-controlled media websites",ru
ua,"Ban on Russian social networks VKontakte and Odnoklassniki",ru
by,"Supportive censorship aligned with Russia against Ukraine",ua
by,"Blocking Western news sites during protests",us
by,"Coordinated domain restrictions with Russia",ru
us,"Sanctions and blocking of Iranian domains",ir
us,"Blocking Russian state media websites like RT and Sputnik",ru
us,"Restrictions on Chinese telecom infrastructure",cn
ir,"Blocking US-based news and social media",us
ir,"Censorship of Israeli news domains",il
ir,"Censorship of some chinese domain",cn
il,"Blocking access to Iranian domains",ir
il,"Filtering Palestinian news websites",ps
ps,"Blocking Israeli government portals",il
cn,"Censorship of US-based news outlets like NYT and WSJ",us
cn,"Restrictions on Indian news portals after border conflict",in
in,"Ban on Chinese apps after border tensions",cn
in,"Blocking Pakistani news and government sites",pk
pk,"Blocking Indian media and government domains",in
kr,"Blocking North Korean propaganda websites",kp
kp,"Censorship of South Korean news portals",kr
kp,"Blocking US-based media and government domains",us
vn,"Restrictions on Chinese online platforms",cn
am,"Blocking Azerbaijani news and government portals",az
az,"Blocking Armenian domains during Nagorno-Karabakh conflict",am
pk,"Blocking Indian YouTube news channels and websites for propaganda against Pakistan",in
in,"Banning Pakistani YouTube news channels and websites after conflict and provocative content",pk
ru,"Blocking websites of 81 foreign media outlets from EU countries in retaliation to restrictions",eu
ae,"Blocking Israeli domains for political reasons",il
be,"Blocking Israeli domains or content in response to Middle East tensions and public pressure",il
tr,"Censoring Israeli news sites during escalations in Gaza conflict",il
eg,"Restricting access to Israeli domains amid regional solidarity with Palestinians",il
sa,"Filtering Israeli content and blocking access to Israeli media during conflict",il
qa,"Restricting Israeli-linked media and domains in response to normalization backlash",il
dz,"Blocking Israeli news and suspected pro-Israel content during protests",il
my,"Blocking access to Israeli-linked websites during times of heightened Middle East tensions",il
id,"Filtering Israeli content in alignment with public religious sentiment",il
lb,"Restricting Israeli content due to ongoing political and military tensions",il
sy,"Blocking Israeli websites as part of state-level censorship policy",il
ir,"Blocking access to pro-Israel content beyond Israeli domains",il
il,"Blocking access to Qatari news websites like Al Jazeera during diplomatic disputes",qa
